#Task: action
#Exec: helico.elf
G	action	000006a4	[]
N
B	000006a4	48
B	000006f8	12
B	000006d4	36
B	00000704	16
B	00000768	16
B	00000784	20
B	000007c8	16
B	00000830	20
B	00000850	20
B	00000844	12
B	000007d8	16
B	000007e8	16
B	0000080c	16
B	0000081c	20
B	000007f8	20
B	00000798	48
B	00000778	12
B	00000714	28
B	00000744	16
B	00000754	20
B	00000730	20
X
E	0	1	N
E	1	2	T
E	2	3	T
E	2	4	N
E	3	2	N
E	4	5	T
E	4	18	N
E	5	6	T
E	5	17	N
E	6	7	T
E	6	16	N
E	7	8	T
E	7	11	N
E	8	9	T
E	8	10	N
E	9	22	T
E	10	9	N
E	11	8	T
E	11	12	N
E	12	13	T
E	12	15	N
E	13	8	T
E	13	14	N
E	14	8	N
E	15	13	N
E	16	7	N
E	17	6	N
E	18	19	T
E	18	21	N
E	19	5	T
E	19	20	N
E	20	5	N
E	21	19	N
