8	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	16
16	16	16
16	16	16
16	16	16
16	16	16
16	16	16
20	20	20
20	20	20
24	24	24
24	28	28
32	32	40
72	0	0
0	0	0
0	0	232
96	80	84
96	64	196
184	204	56
152	156	224
0	92	80
80	76	76
80	88	96
36	0	0
0	0	248
240	252	0
0	0	0
0	0	0
0	200	180
176	172	168
164	160	156
152	148	140
136	128	128
132	140	132
112	0	116
100	100	104
112	0	136
0	60	100
96	92	96
108	0	0
0	168	156
148	152	0
224	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	76
0	8	24
92	0	0
0	112	108
96	92	88
88	88	244
0	0	172
64	124	44
40	40	36
36	32	32
28	28	28
28	28	28
28	28	28
24	24	24
24	24	24
24	24	24
24	24	24
20	20	20
20	20	20
20	20	16
16	16	16
16	16	16
16	16	16
16	16	16
16	16	16
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	8	8
8	8	8
8	8	8
8	8	8
8	8	8
8	8	8
8	8	8
8	8	8
8	8	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
16	16	16
16	16	16
16	16	16
16	16	16
16	16	16
20	20	20
20	20	20
20	24	24
24	24	24
28	32	32
40	52	76
112	96	0
0	0	0
0	84	76
80	144	232
164	24	76
80	164	196
100	0	96
84	80	80
80	84	88
92	116	0
0	0	0
228	240	248
84	92	0
0	0	0
0	80	228
184	176	172
168	164	160
156	156	148
148	148	136
0	0	0
0	4	12
124	116	164
112	116	128
148	168	0
120	100	100
124	0	0
0	240	0
160	164	160
0	0	32
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	148
0	0	0
0	0	0
0	0	0
200	108	108
196	0	0
0	0	92
0	136	72
52	44	44
44	40	36
32	32	28
28	28	28
28	28	28
28	28	24
24	24	24
24	24	24
24	24	24
24	24	20
20	20	20
20	20	20
16	16	16
16	16	16
16	16	16
16	16	16
16	16	16
16	16	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
8	8	8
8	8	8
8	8	8
8	8	8
8	8	8
8	8	8
8	8	8
8	8	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
16	16	16
16	16	16
16	16	16
16	16	16
16	16	16
16	20	20
20	20	20
20	20	24
24	24	24
