#Label: Total Execution Time
#Unit: cycle
#Total: 3067
#LineOp: sum
#ConcatOp: sum
#ContextOp: sum
#Description: Represents the total number of cycles the code takes during the execution of the worst case execution path.
#Time: 61.34 us
#WCET: 3067 cycles
27	00000fac	40	[]
17	00000fd4	32	[]
1	00000ff4	4	[]
3	00000ff8	4	[]
11	00001040	20	[]
0	00000ffc	16	[]
0	0000100c	4	[]
0	00001010	4	[]
0	00001014	16	[]
0	00001024	4	[]
0	00001028	4	[]
0	0000102c	16	[]
0	0000103c	4	[]
17	00000500	32	[FUN(00000fac), CALL(00000fd0)]
1	00000520	4	[FUN(00000fac), CALL(00000fd0)]
4	00000524	8	[FUN(00000fac), CALL(00000fd0)]
10	00000534	16	[FUN(00000fac), CALL(00000fd0)]
0	0000052c	4	[FUN(00000fac), CALL(00000fd0)]
0	00000530	4	[FUN(00000fac), CALL(00000fd0)]
0	00000410	52	[FUN(00000fac), CALL(00000fd0), FUN(00000500), CALL(0000052c)]
29	000004c4	52	[FUN(00000fac), CALL(00000fd0), FUN(00000500), CALL(00000520)]
0	00000e68	24	[FUN(00000fac), CALL(0000103c)]
0	00000e80	24	[FUN(00000fac), CALL(0000103c)]
0	00000e98	12	[FUN(00000fac), CALL(0000103c)]
0	00000ea4	48	[FUN(00000fac), CALL(0000103c)]
0	00000ed4	16	[FUN(00000fac), CALL(0000103c)]
0	00000ee4	20	[FUN(00000fac), CALL(0000103c)]
0	00000ef8	16	[FUN(00000fac), CALL(0000103c)]
0	00000f08	24	[FUN(00000fac), CALL(0000103c)]
0	00000f80	16	[FUN(00000fac), CALL(0000103c)]
0	00000f20	24	[FUN(00000fac), CALL(0000103c)]
0	00000f38	16	[FUN(00000fac), CALL(0000103c)]
0	00000f48	20	[FUN(00000fac), CALL(0000103c)]
0	00000f5c	16	[FUN(00000fac), CALL(0000103c)]
0	00000f6c	20	[FUN(00000fac), CALL(0000103c)]
0	00000600	56	[FUN(00000fac), CALL(0000103c), FUN(00000e68), CALL(00000e94)]
0	00000668	20	[FUN(00000fac), CALL(0000103c), FUN(00000e68), CALL(00000e94)]
